pair,pos1,pos2,sub1,sub2,count,freq,guide_id,n_total,n_hits,tail_utility_sum,raw_hit_rate,smoothed_hit_probability,smoothed_tail_potential,exploit_weight,tail_weight,uniform_weight,search_weight,target_threshold,global_hit_rate,global_tail_mean
R3-R4,R3,R4,*c1ccc(OC)cc1OC,*C1CC1,151,0.0120385872598261,R3-R4-030,787,0,0.1200495246454698,0.0,1.65414288966853e-05,0.00015332354158246062,0.002024869758879768,0.0045347921084042415,0.02127659574468085,0.006628191660897327,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(OC)cc1,*CCCSC,132,0.0105237981344176,R3-R4-031,478,0,0.10847915190860412,0.0,2.4080221712431254e-05,0.00020613563835549108,0.002600890490884419,0.00552399837695925,0.02127659574468085,0.0072129639074661545,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(C)cc1,*CC(C)(C)C,121,0.0096468149565494,R3-R4-032,252,0,0.2914772447998853,0.0,3.612033256864688e-05,0.0007140664949033277,0.0034081306856325465,0.01264670120244303,0.02127659574468085,0.009753394852485352,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(OC)cc1,*C(C)C,120,0.0095670892131069,R3-R4-033,690,0,0.11051665840793375,0.0,1.8344258787672348e-05,0.00015932299921837364,0.002169444403882019,0.004652329538065489,0.02127659574468085,0.006735740212296826,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(C)cc1,*C(C)(C)C,118,0.0094076377262217,R3-R4-034,402,0,0.13873861544110883,0.0,2.712024970270497e-05,0.00028242429624174026,0.0028154265509207116,0.006814272927851617,0.02127659574468085,0.007707314302752011,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(C)cc1,*CCCCC,117,0.0093279119827792,R3-R4-035,204,0,0.471561720067458,0.0,4.041185723026829e-05,0.0012446597301086061,0.003673000205803857,0.018316897409084838,0.02127659574468085,0.01158688847456355,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(C)cc1,*CCCC,117,0.0093279119827792,R3-R4-036,337,0,0.18279981518609675,0.0,3.040296149167298e-05,0.00039866038376632325,0.0030382651509858645,0.008574725136897032,0.02127659574468085,0.008346869265498214,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(C)cc1,*CC(C)C,116,0.0092481862393366,R3-R4-037,402,0,0.12067247682687175,0.0,2.712024970270497e-05,0.0002524140992081239,0.0028154265509207116,0.006322573603594141,0.02127659574468085,0.007559804505474769,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OCC,*CCCSC,116,0.0092481862393366,R3-R4-038,896,0,0.10087639375337533,0.0,1.4896341533785029e-05,0.00012058139110382676,0.0018882876815876119,0.003863714376215556,0.02127659574468085,0.006358577302594643,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(C)cc1,*C(CC)CC,114,0.0090887347524515,R3-R4-039,252,0,0.3193244327790599,0.0,3.612033256864688e-05,0.0007756753178661034,0.0034081306856325465,0.01336405134402831,0.02127659574468085,0.009968599894960937,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccccc1,*CCCCC,104,0.0082914773180259,R3-R4-040,313,0,0.18847724966977683,0.0,3.182532226321324e-05,0.0004283782857040851,0.0031323019391468307,0.008995730849952192,0.02127659574468085,0.008520189373495243,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccccc1,*CC(C)(C)C,104,0.0082914773180259,R3-R4-041,362,0,0.13869494841910757,0.0,2.905051658545977e-05,0.00030244797031232453,0.0029474808063885147,0.007132666804568294,0.02127659574468085,0.007868859593500916,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccccc1,*C(CC)CC,102,0.0081320258311408,R3-R4-042,362,0,0.14301368926700708,0.0,2.905051658545977e-05,0.00031013256256837347,0.0029474808063885147,0.007252978649883106,0.02127659574468085,0.00790495314709536,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OC,*CCC,101,0.0080523000876983,R3-R4-043,1052,0,0.18053230539307039,0.0,1.3040247860246319e-05,0.00016917980534304249,0.0017279810555006169,0.00484228672065571,0.02127659574468085,0.0065719956928831915,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(O)cc1,*CCC,88,0.007015865422945,R3-R4-044,756,0,0.0785144510956154,0.0,1.7077814143335138e-05,0.00011484860041007764,0.002068409868916291,0.0037402614290086636,0.02127659574468085,0.006411602512096915,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(O)cc1,*CCCSC,88,0.007015865422945,R3-R4-045,611,0,0.07288396651475924,0.0,2.0131184119640433e-05,0.00012843992282512707,0.002308135460772895,0.004029812545641059,0.02127659574468085,0.006618330643014935,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*OCC,*CCCCCCCCCC,81,0.0064577852188471,R3-R4-046,81,11,15.384236265180958,0.13580246913580246,0.03920400850648053,0.05485949137394084,0.3599443789675614,0.22855251525214532,0.02127659574468085,0.25279326320836043,6.1,8.163195160514195e-05,0.0001564040544820941
R3-R4,R3,R4,*c1ccc(C)cc1,*CCC,79,0.006298333731962,R3-R4-047,496,0,0.07566729187047028,0.0,2.345745735779941e-05,0.00015366106719380616,0.0025558520070407963,0.004541444913458619,0.02127659574468085,0.006895678626494154,6.1,8.163195160514195e-05,0.0001564040544820941
