Molecule_ID,Source_Molecule_ID,SMILES,Molecule_class,Cacetal-q(N),Cacetal-q(N+1),Cacetal-s-,E_HOMO(N-1),VIP,Overall_Average,Pos_Average,Polar_Area,Split_Cacetal_q_N,Split_Cacetal_q_Nplus1,Split_Cacetal_s_minus,Split_E_HOMO_Nminus1,Split_VIP,Split_Overall_Average,Split_Pos_Average,Split_Polar_Area
DFT0938,acetal1500_000938,CC(OCC(Cl)Cl)OC(C)(C)C,acetal,0.1269333333333333,0.1187666666666666,0.1852666666666667,-0.302498333,0.260775,0.0010732433333333,0.0235119333333333,57.34666666666666,train,validation,test,validation,train,train,test,train
DFT0939,acetal1500_000939,CC(OCBr)OC(C)(C)C,acetal,0.1285666666666666,0.1147666666666666,0.1320666666666666,-0.299851667,0.2645526666666666,0.0009878766666666,0.01616474,48.85999999999999,train,train,train,train,validation,train,train,train
DFT0940,acetal1500_000940,CC(OCCBr)OC(C)(C)C,acetal,0.1237333333333333,0.1167333333333333,0.1596,-0.287573,0.251926,0.0004629,0.0212801166666666,59.76333333333333,train,train,test,test,train,train,test,train
DFT0941,acetal1500_000941,COCOC(C)OC(C)(C)C,acetal,0.0969333333333333,0.0872,0.1621333333333333,-0.286779667,0.2547983333333333,-0.001698447,0.0136991066666666,42.24,test,train,train,train,train,train,train,train
DFT0942,acetal1500_000942,COCCOC(C)OC(C)(C)C,acetal,0.1226666666666666,0.0821666666666666,0.1028333333333333,-0.271189667,0.2465423333333333,-0.001091763,0.0131504333333333,41.41666666666666,train,train,validation,train,validation,train,train,train
DFT0943,acetal1500_000943,CC(OCCOCCc1ccccc1)OC(C)(C)C,acetal,0.1209,0.1206999999999999,0.0305,-0.250868,0.227369,-0.000544773,0.0164270333333333,47.74,validation,train,train,train,train,train,train,train
DFT0944,acetal1500_000944,CC(OC1CC1)OC(C)(C)C,acetal,0.1232,0.0786,0.1088,-0.287852,0.239207,-0.00075135,0.01312663,36.1,validation,validation,test,validation,validation,train,validation,validation
DFT0945,acetal1500_000945,CC(OC1CCC1)OC(C)(C)C,acetal,0.1237333333333333,0.0722666666666666,0.1377666666666666,-0.289345333,0.2432283333333333,-0.000345997,0.01081932,29.203333333333333,validation,train,test,test,train,train,test,train
DFT0946,acetal1500_000946,CC(OC1CCCC1)OC(C)(C)C,acetal,0.1218,0.0784333333333333,0.1277666666666666,-0.292451333,0.243785,-0.000140953,0.0116517599999999,31.10333333333333,train,train,train,validation,train,train,validation,validation
DFT0947,acetal1500_000947,CC(OC1CCCCC1)OC(C)(C)C,acetal,0.1201333333333333,0.0842333333333333,0.1408666666666666,-0.289312,0.2420956666666666,-7.89E-05,0.0111168433333333,29.27333333333333,train,train,train,train,test,train,train,train
DFT0948,acetal1500_000948,CC(OC1CC2CCC1C2)OC(C)(C)C,acetal,0.1211666666666666,0.1004333333333333,0.1374,-0.288484,0.2416836666666666,-8.85E-05,0.01109628,28.403333333333336,train,train,train,train,train,test,validation,train
DFT0949,acetal1500_000949,CC(Oc1ccccc1)OC(C)(C)C,acetal,0.1305,0.1232,0.0824,-0.28484,0.212963,-0.001024243,0.0139218433333333,43.29333333333333,train,train,train,train,train,train,train,validation
DFT0950,acetal1500_000950,Cc1ccc(COC(C)OC(C)(C)C)cc1,acetal,0.121,0.1117666666666666,0.0367,-0.262867,0.2270776666666666,-0.001821763,0.01235618,38.18666666666667,train,train,validation,test,validation,train,train,test
DFT0951,acetal1500_000951,CC(OCOc1ccccc1)OC(C)(C)C,acetal,0.1263,0.1248,0.0175333333333333,-0.265881333,0.2161966666666666,-0.000374747,0.0168589633333333,52.64333333333334,train,train,test,train,train,test,train,train
DFT0952,acetal1500_000952,CC(Oc1ccccn1)OC(C)(C)C,acetal,0.1258,0.1173666666666666,0.0898,-0.284954,0.2247403333333333,-0.00248473,0.0119816733333333,35.63333333333333,train,train,train,train,train,train,train,train
DFT0953,acetal1500_000953,CC(OCN)OC(C)(C)C,acetal,0.1167333333333333,0.0915333333333333,0.0885,-0.280544333,0.2423296666666666,-0.001773517,0.0175236766666666,44.81333333333333,train,validation,validation,train,test,train,train,train
DFT0954,acetal1500_000954,CC(OCC#N)OC(C)(C)C,acetal,0.1285,0.1014333333333333,0.1634,-0.310471333,0.260586,0.0043497833333333,0.02485058,67.77666666666666,train,train,train,train,validation,train,test,train
DFT0955,acetal1500_000955,CC(OCN1CCOCC1)OC(C)(C)C,acetal,0.1202333333333333,0.0888666666666666,0.0295,-0.2653,0.2115956666666666,0.00080461,0.0148698,46.75666666666666,train,train,test,validation,train,validation,test,train
DFT0956,acetal1500_000956,CC(OCN1CCCCC1)OC(C)(C)C,acetal,0.1204666666666666,0.0862666666666666,0.0314666666666666,-0.268697667,0.2053013333333333,-0.000813167,0.0117827166666666,32.07,train,train,train,test,train,test,train,train
DFT0957,acetal1500_000957,C=COC(C)OC(C)(C)C,acetal,0.1296,0.1094,0.0961,-0.280687,0.223831,-0.00015224,0.0166380566666666,50.583333333333336,validation,train,train,validation,train,train,train,train
DFT0958,acetal1500_000958,C=CCOC(C)OC(C)(C)C,acetal,0.1210666666666666,0.1104666666666666,0.1113666666666666,-0.276113667,0.2449053333333333,-0.00041024,0.0135824266666666,40.696666666666665,train,train,validation,train,train,train,train,train
DFT0959,acetal1500_000959,C#CCOC(C)OC(C)(C)C,acetal,0.1239666666666666,0.0986333333333333,0.1427333333333333,-0.284171667,0.2509673333333333,-0.000882403,0.0177112266666666,55.083333333333336,test,train,train,validation,train,validation,train,validation
DFT0960,acetal1500_000960,CCCCCOC(C)OCCCCC,acetal,0.1216,0.0822666666666666,0.1446666666666666,-0.295582,0.249638,0.00069527,0.00883463,19.176666666666662,train,train,train,train,train,validation,train,train
DFT0961,acetal1500_000961,CCCCCOC(C)OCC(C)(C)C,acetal,0.1226,0.1007666666666666,0.1617666666666666,-0.295218,0.2495513333333333,0.00047944,0.0104651533333333,24.426666666666662,validation,validation,train,validation,validation,validation,train,train
DFT0962,acetal1500_000962,CCCCCOC(C)OCF,acetal,0.1273999999999999,0.0686666666666666,0.1285666666666666,-0.321126,0.2606233333333334,0.0006000833333333,0.01329073,36.50666666666667,validation,train,train,test,train,train,validation,train
DFT0963,acetal1500_000963,CCCCCOC(C)OC(F)F,acetal,0.1339666666666666,0.0731333333333333,0.1436333333333333,-0.321176333,0.260149,0.0032974333333333,0.0164694466666666,51.336666666666666,test,train,train,train,train,train,train,train
DFT0964,acetal1500_000964,CCCCCOC(C)OC(F)(F)F,acetal,0.1387333333333333,0.0685666666666666,0.1205666666666666,-0.324056,0.2727193333333333,0.00232629,0.0137285799999999,40.23333333333333,train,train,train,train,train,train,train,train
DFT0965,acetal1500_000965,CCCCCOC(C)OCCF,acetal,0.1248333333333333,0.0621333333333333,0.1575333333333333,-0.301319667,0.2511803333333333,0.0003045333333333,0.0168143033333333,43.72666666666667,test,train,train,test,validation,train,train,train
DFT0966,acetal1500_000966,CCCCCOC(C)OCC(F)F,acetal,0.1265,0.0482666666666666,0.147,-0.307876,0.2558913333333333,0.00062298,0.0158207733333333,43.96,train,train,train,validation,test,train,train,validation
DFT0967,acetal1500_000967,CCCCCOC(C)OCCl,acetal,0.1307666666666666,0.1159999999999999,0.1525333333333333,-0.309766333,0.2645633333333333,0.00162728,0.0146373366666666,42.66333333333333,train,train,test,train,train,validation,train,train
DFT0968,acetal1500_000968,CCCCCOC(C)OC(Cl)Cl,acetal,0.1418333333333333,0.1230666666666666,0.1636333333333333,-0.314735333,0.271334,0.00362207,0.0196267966666666,52.803333333333335,validation,train,train,test,train,train,train,train
DFT0969,acetal1500_000969,CCCCCOC(C)OCCCl,acetal,0.1248,0.1134,0.1653333333333333,-0.301768333,0.25114,0.0015545899999999,0.0168142866666666,50.66333333333333,train,train,train,train,train,train,train,train
DFT0970,acetal1500_000970,CCCCCOC(C)OCC(Cl)Cl,acetal,0.1284666666666666,0.1212333333333333,0.1783666666666666,-0.307064333,0.256865,0.00185557,0.0172349933333333,49.55,validation,train,train,validation,train,train,train,train
DFT0971,acetal1500_000971,CCCCCOC(C)OCBr,acetal,0.1284,0.1126666666666666,0.1498333333333333,-0.292421333,0.2586219999999999,0.00250582,0.0134274633333333,42.99666666666667,train,train,validation,test,train,train,train,train
DFT0972,acetal1500_000972,CCCCCOC(C)OCCBr,acetal,0.1250666666666666,0.1119333333333333,0.1877333333333333,-0.282638,0.2530366666666666,0.0024295466666666,0.01448414,44.196666666666665,train,test,validation,test,train,train,train,train
DFT0973,acetal1500_000973,CCCCCOC(C)OCOC,acetal,0.1248666666666666,0.1091666666666666,0.1393666666666666,-0.285556,0.2525759999999999,0.0007913433333333,0.0143609733333333,43.48333333333333,test,test,validation,train,test,test,test,train
DFT0974,acetal1500_000974,CCCCCOC(C)OCCOC,acetal,0.1243,0.0839333333333333,0.0890333333333333,-0.276750333,0.2428683333333333,-0.000366373,0.01508259,42.41,train,train,train,train,train,test,test,train
DFT0975,acetal1500_000975,CCCCCOC(C)OCCO,acetal,0.1231666666666666,0.1182,0.149,-0.282502333,0.2491306666666666,0.00059543,0.0165089766666666,40.92666666666667,test,train,train,train,validation,train,test,validation
DFT0976,acetal1500_000976,CCCCCOC(C)OCOCc1ccccc1,acetal,0.1252666666666666,0.1239,0.0102333333333333,-0.266206,0.2371176666666666,-0.002086987,0.01258752,36.07,validation,train,train,train,train,train,test,test
DFT0977,acetal1500_000977,CCCCCOC(C)OCCOCCc1ccccc1,acetal,0.1236666666666666,0.1235666666666666,0.0055333333333333,-0.256576,0.230841,0.0003270166666666,0.0124314766666666,36.13,train,train,test,test,test,train,train,train
DFT0978,acetal1500_000978,CCCCCOC(C)OC1CC1,acetal,0.1241666666666666,0.0744666666666666,0.1162333333333333,-0.290065667,0.2428886666666666,-0.000879857,0.0114199566666666,30.35,train,test,test,train,train,train,train,train
DFT0979,acetal1500_000979,CCCCCOC(C)OC1CCC1,acetal,0.1227333333333333,0.0708666666666666,0.1462,-0.290639333,0.2459479999999999,7.855999999999998e-05,0.01066153,26.89,train,train,train,train,train,train,train,test
DFT0980,acetal1500_000980,CCCCCOC(C)OC1CCCC1,acetal,0.1215666666666666,0.0890666666666666,0.132,-0.297537667,0.2464906666666666,0.0010953566666666,0.0102972433333333,26.156666666666663,test,validation,train,train,train,train,train,train
DFT0981,acetal1500_000981,CCCCCOC(C)OC1CCCCC1,acetal,0.1211666666666666,0.0816666666666666,0.1340333333333333,-0.290278,0.245657,0.0007694066666666,0.0098973166666666,25.14333333333333,train,train,train,train,train,test,test,train
DFT0982,acetal1500_000982,CCCCCOC(C)OC1CCCCCC1,acetal,0.1207666666666666,0.0903666666666666,0.1484666666666666,-0.292184333,0.244166,0.0010364633333333,0.0098833533333333,23.75,validation,train,train,train,train,test,train,train
DFT0983,acetal1500_000983,CCCCCOC(C)OC1CC2CCC1C2,acetal,0.122,0.0836666666666666,0.1352,-0.289739667,0.2445923333333333,0.0008035833333333,0.0101973033333333,24.89333333333333,train,validation,test,train,train,train,train,validation
DFT0984,acetal1500_000984,CCCCCOC(C)OCc1ccccc1,acetal,0.1216999999999999,0.1136999999999999,0.0429666666666666,-0.263699667,0.2382176666666666,-0.000614377,0.0119274833333333,35.68,train,train,train,train,train,train,train,train
DFT0985,acetal1500_000985,CCCCCOC(C)Oc1ccccc1,acetal,0.1320333333333333,0.1244666666666666,0.0856666666666666,-0.281463,0.215573,-0.00033006,0.0121165433333333,37.82333333333333,train,train,test,train,train,test,test,train
DFT0986,acetal1500_000986,CCCCCOC(C)OCc1ccc(C)cc1,acetal,0.12085,0.1138,0.0304,-0.265714,0.22769,-0.00063436,0.01106516,31.91,train,validation,train,validation,train,train,train,test
DFT0987,acetal1500_000987,CCCCCOC(C)OCOc1ccccc1,acetal,0.1256333333333333,0.1240333333333333,0.0184333333333333,-0.269733667,0.2166826666666666,-0.000615207,0.0130423,38.27,train,train,train,train,validation,test,train,train
DFT0988,acetal1500_000988,CCCCCOC(C)OCN,acetal,0.1209,0.1062666666666666,0.0865333333333333,-0.276721333,0.2409303333333333,-0.000106137,0.0132396966666666,38.49666666666667,train,test,train,test,train,train,train,train
DFT0989,acetal1500_000989,CCCCCOC(C)OCN1CCOCC1,acetal,0.123,0.1043999999999999,0.0349333333333333,-0.266361,0.2175846666666666,0.00080708,0.0129686333333333,38.61666666666667,train,train,train,validation,train,train,train,train
DFT0990,acetal1500_000990,CCCCCOC(C)OCN1CCCCC1,acetal,0.1211,0.0799,0.0372,-0.267906,0.2098036666666666,0.0001356666666666,0.0100470466666666,24.61,test,validation,train,train,validation,test,validation,train
DFT0991,acetal1500_000991,C=COC(C)OCCCCC,acetal,0.1307333333333333,0.1093666666666666,0.1005999999999999,-0.274811,0.2264993333333333,0.0002834799999999,0.01506767,42.25,validation,train,train,train,train,test,train,train
DFT0992,acetal1500_000992,CC(OCC(C)(C)C)OCC(C)(C)C,acetal,0.1242333333333333,0.11,0.1585,-0.297034333,0.2503923333333333,-0.000480437,0.0103242633333333,24.89,train,validation,train,train,test,train,test,train
DFT0993,acetal1500_000993,CC(OCF)OCC(C)(C)C,acetal,0.1288333333333333,0.1187333333333333,0.1354333333333333,-0.327016333,0.2627463333333333,0.0002303133333333,0.0140086166666666,39.50666666666667,train,test,train,test,test,train,train,test
DFT0994,acetal1500_000994,CC(OCC(C)(C)C)OC(F)F,acetal,0.1364666666666666,0.1196666666666666,0.1427666666666666,-0.329148333,0.2656066666666666,0.00311523,0.0184032633333333,53.25666666666667,test,train,validation,train,train,train,train,train
DFT0995,acetal1500_000995,CC(OCC(C)(C)C)OC(F)(F)F,acetal,0.1404666666666666,0.1332,0.1117666666666666,-0.333181,0.2762353333333333,0.0015372766666666,0.01500804,41.71333333333333,test,train,train,test,train,validation,train,train
DFT0996,acetal1500_000996,CC(OCCF)OCC(C)(C)C,acetal,0.12575,0.095,0.16115,-0.3043465,0.2526315,0.00185622,0.01414106,40.955,train,train,train,train,train,validation,train,train
DFT0997,acetal1500_000997,CC(OCC(F)F)OCC(C)(C)C,acetal,0.1279,0.1079333333333333,0.1564333333333333,-0.311904667,0.2547293333333333,0.0018896666666666,0.0167007966666666,50.303333333333335,train,validation,test,train,validation,train,train,train
DFT0998,acetal1500_000998,CC(OCCl)OCC(C)(C)C,acetal,0.1308333333333333,0.1154666666666666,0.1614666666666666,-0.310353667,0.263403,0.0023542,0.0156152433333333,47.923333333333325,train,train,train,validation,validation,test,train,train
DFT0999,acetal1500_000999,CC(OCC(C)(C)C)OC(Cl)Cl,acetal,0.1413333333333333,0.1231999999999999,0.1711666666666667,-0.316059667,0.2691123333333333,0.0035805233333333,0.0201499733333333,55.27333333333333,train,train,train,train,train,validation,validation,train
DFT1000,acetal1500_001000,CC(OCCCl)OCC(C)(C)C,acetal,0.1261333333333333,0.1117666666666666,0.1876,-0.300595,0.2556736666666667,0.0029295333333333,0.0170814066666666,48.64000000000001,test,test,test,train,test,validation,train,train
DFT1001,acetal1500_001001,CC(OCC(Cl)Cl)OCC(C)(C)C,acetal,0.1291666666666666,0.1205333333333333,0.2070999999999999,-0.308514,0.2595436666666667,0.0008012533333333,0.0199577366666666,48.38333333333333,train,validation,train,train,test,train,validation,train
DFT1002,acetal1500_001002,CC(OCBr)OCC(C)(C)C,acetal,0.1312,0.1164333333333333,0.1239333333333333,-0.302106,0.2652676666666667,0.0009291033333333,0.01590181,46.626666666666665,train,validation,train,train,train,train,train,train
DFT1003,acetal1500_001003,CC(OCCBr)OCC(C)(C)C,acetal,0.1263333333333333,0.1085999999999999,0.1901,-0.289176,0.2549573333333333,0.00271385,0.0156084766666666,43.28666666666667,train,train,train,train,train,test,train,train
DFT1004,acetal1500_001004,COCCOC(C)OCC(C)(C)C,acetal,0.124175,0.108725,0.0919,-0.28196525,0.2411625,-0.000144515,0.015768805,43.89,validation,train,train,train,train,train,train,train
DFT1005,acetal1500_001005,CC(OCCO)OCC(C)(C)C,acetal,0.1245,0.1165333333333333,0.1394,-0.286654667,0.2468096666666666,0.00064782,0.0169804833333333,44.07333333333333,test,train,train,train,train,train,train,test
DFT1006,acetal1500_001006,CC(OCOCc1ccccc1)OCC(C)(C)C,acetal,0.1257,0.1242666666666666,0.0118333333333333,-0.262749,0.2374013333333333,-0.00136078,0.01467268,43.60999999999999,test,train,validation,train,test,train,train,train
DFT1007,acetal1500_001007,CC(OCCOCCc1ccccc1)OCC(C)(C)C,acetal,0.1234666666666666,0.1234,0.0075333333333333,-0.258207333,0.227521,-0.00059005,0.01557251,45.04666666666666,test,train,train,train,train,validation,train,train
DFT1008,acetal1500_001008,CC(OCC(C)(C)C)OC1CC1,acetal,0.1239,0.11515,0.10605,-0.2965025,0.241606,1.7875e-05,0.01247358,33.49,test,train,train,test,train,train,train,train
DFT1009,acetal1500_001009,CC(OCC(C)(C)C)OC1CCC1,acetal,0.1238,0.0931333333333333,0.1446333333333333,-0.291647,0.2476779999999999,-0.000237283,0.0110826233333333,27.566666666666663,train,train,train,train,train,train,train,train
DFT1010,acetal1500_001010,CC(OCC(C)(C)C)OC1CCCC1,acetal,0.1235333333333333,0.1018,0.15,-0.292949,0.2477396666666666,-0.000182727,0.0109155966666666,27.28,train,validation,test,validation,train,train,train,train
DFT1011,acetal1500_001011,CC(OCC(C)(C)C)OC1CCCCC1,acetal,0.1220999999999999,0.1051666666666666,0.1435,-0.289572,0.246186,0.0001821433333333,0.0102096,25.433333333333334,train,train,train,train,train,train,train,train
DFT1012,acetal1500_001012,CC(OCC(C)(C)C)OC1CC2CCC1C2,acetal,0.1227333333333333,0.1066666666666666,0.1439333333333333,-0.292862667,0.245568,5.023333333333334e-06,0.0101141599999999,24.676666666666662,validation,test,train,train,train,train,train,train
DFT1013,acetal1500_001013,CC(OCc1ccccc1)OCC(C)(C)C,acetal,0.1227333333333333,0.1145333333333333,0.0375666666666666,-0.268535333,0.2387133333333333,-0.00133679,0.01284842,37.54,train,train,validation,train,train,validation,train,train
