Candidate_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,Predicted_log_kH,Prediction_uncertainty,Relative_to_current_limit,Beyond_limit_flag,SA_score,logP,Search_run
TS0111,111,CCOC(OC)(c1ccc(N(C)C)cc1)C1CCCCC1,ketal,*CC,*C,*c1ccc(N(C)C)cc1,*C1CCCCC1,6.285851001739502,0.3978616297245025,0.1858510017395023,TRUE,3.129897147674865,4.168600000000004,run_01
TS0112,112,CCCCCCCCCCC(OC)(OC)OCCCO,orthoester,*CCCO,*C,*OC,*CCCCCCCCCC,6.284629821777344,0.584517776966095,0.1846298217773441,TRUE,2.6800259602266028,3.862800000000003,run_01
TS0113,113,CCCOC(OCC)(c1ccc(N(C)C)cc1)C1CCCCC1,ketal,*CCC,*CC,*c1ccc(N(C)C)cc1,*C1CCCCC1,6.281965732574463,0.4212388396263122,0.18196573257446325,TRUE,3.198867222591417,4.948800000000005,run_01
TS0114,114,C=CC(=O)NCCOC(CCCCCCCCCC)(OCCN)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(=O)C=C,*CCN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.28159761428833,0.9414585828781128,0.18159761428833043,TRUE,3.500841780490476,4.690100000000004,run_03
TS0115,115,CCOC(OCC)(c1ccc(N(C)C)cc1)C1CCCCC1,ketal,*CC,*CC,*c1ccc(N(C)C)cc1,*C1CCCCC1,6.281465530395508,0.3986684679985046,0.18146553039550817,TRUE,2.762441967608593,4.558700000000004,run_04
TS0116,116,CCCCCCCCCCC(OCCO)(OCCCN)c1c(OC)cc(OC)cc1OC,ketal,*CCCN,*CCO,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.279134750366211,0.935716986656189,0.1791347503662113,TRUE,3.353114044084526,4.770300000000003,run_01
TS0117,117,CCCCCCC(OCCN)(OC(C)C)c1ccc(N(C)C)cc1,ketal,*CCN,*C(C)C,*c1ccc(N(C)C)cc1,*CCCCCC,6.278408050537109,0.5220309495925903,0.17840805053710973,TRUE,3.214811399384901,4.276100000000003,run_02
TS0118,118,CCCCCCCCCCC(OC)(OC)OCCO,orthoester,*CCO,*C,*OC,*CCCCCCCCCC,6.275314807891846,0.5241908431053162,0.17531480789184606,TRUE,2.7002083049178403,3.472700000000003,run_05
TS0119,119,CCCCCCC(OCCCN)(OC(C)C)c1ccc(N(C)C)cc1,ketal,*CCCN,*C(C)C,*c1ccc(N(C)C)cc1,*CCCCCC,6.266732692718506,0.5531281232833862,0.16673269271850621,TRUE,3.195442601410382,4.666200000000004,run_01
TS0120,120,CCCCCC(OC)(OC(C)C)c1ccc(N(C)C)cc1,ketal,*C(C)C,*C,*c1ccc(N(C)C)cc1,*CCCCC,6.266362190246582,0.4079688787460327,0.1663621902465824,TRUE,3.041808229813066,4.557100000000005,run_02
