Candidate_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,Predicted_log_kH,Prediction_uncertainty,SA_score,logP,Discovery_stage
TS0048,54,CCCCCCCCCCC(OCC)(OCC)OCCNC(C)=O,orthoester,*CCNC(C)=O,*CC,*OCC,*CCCCCCCCCC,6.450662136077881,0.7392618656158447,2.7144045605916265,4.396700000000004,Targeted_search
TS0049,55,CCCCCCCCCCC(OC)(OCC)OCCN,orthoester,*CCN,*CC,*OC,*CCCCCCCCCC,6.450389862060547,0.599210798740387,3.195033152025082,3.829200000000002,Targeted_search
TS0050,56,CCCCCCCCCCC(OCC)(OCCC)OCCNC(C)=O,orthoester,*CCNC(C)=O,*CCC,*OCC,*CCCCCCCCCC,6.44205379486084,0.697970986366272,3.1625751862168787,4.786800000000004,Targeted_search
TS0051,57,CCCCCCCCCCC(OC)(OC)OCCOCC,orthoester,*CCOCC,*C,*OC,*CCCCCCCCCC,6.437307834625244,0.650602400302887,2.6599664365990545,4.516900000000004,Targeted_search
TS0052,58,CCCCCCCCCCC(OC)(OCCCN)OC(C)(C)C,orthoester,*CCCN,*C(C)(C)C,*OC,*CCCCCCCCCC,6.434309959411621,0.6142608523368835,3.2360736131239616,4.997900000000004,Targeted_search
TS0053,59,CCCCCCCCCCC(OC)(OCCC)OCCN,orthoester,*CCN,*CCC,*OC,*CCCCCCCCCC,6.429617404937744,0.5412102937698364,3.216447343242012,4.219300000000002,Targeted_search
TS0054,60,CCCCCCCCCCC(OC)(OC)OCNC,orthoester,*CNC,*C,*OC,*CCCCCCCCCC,6.420825958251953,0.5218652486801147,2.918047492145707,3.657300000000002,Targeted_search
TS0055,61,CCCCCCCCCCC(OC)(OCC)OCO,orthoester,*CO,*CC,*OC,*CCCCCCCCCC,6.41726541519165,0.4884070456027984,3.2778382263451835,3.820300000000002,Targeted_search
HTS000007,62,CCCCCCCCCCC(OCC)(OCCC)OCCOCCN,orthoester,C(COCCN)*,C(CC)*,CCO*,CCCCCCCCCC*,6.41203932,0.7159706170002046,3.2646819343982765,4.626000000000003,HTS
TS0056,63,CCCCCCCCCCC(OC)(OC)OCN,orthoester,*CN,*C,*OC,*CCCCCCCCCC,6.408234596252441,0.4398998320102691,2.860076349068839,3.396600000000001,Targeted_search
