Candidate_ID,Source_Molecule_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,SA_score,logP,Predicted_log_kH,Prediction_uncertainty,High_value_flag,Beyond_limit_flag
HTS009153,virt_molwt_v1_full_0515776,9153,CCOC(=O)C1CCCCC1OC(CC)(OCC)Oc1cccc(C)c1,orthoester,CCOC(=O)C1CCCCC1*,c1(*)cccc(C)c1,CCO*,C(C)*,3.6739475385731897,4.612620000000004,4.108045440000001,0.4167930513607616,TRUE,FALSE
HTS009154,virt_molwt_v1_full_1438200,9154,COc1ccc(C(Oc2c(C(=O)O)cccc2[N+](=O)[O-])(OC(C)C)C2CC2)c(OC)c1,ketal,c1(*)c(C(=O)O)cccc1[N+](=O)[O-],CC(C)*,COc1ccc(*)c(OC)c1,C1(*)CC1,3.34479248880747,4.377000000000003,4.10799412,0.4897580499612493,TRUE,FALSE
HTS009155,virt_molwt_v1_full_1351032,9155,COc1ccc(C(OCc2ccccc2)(Oc2c(C(=O)O)cccc2C(=O)O)C2CC2)cc1,ketal,c1(*)c(C(=O)O)cccc1C(=O)O,C(c1ccccc1)*,COc1ccc(*)cc1,C1(*)CC1,3.026238905399365,4.950200000000004,4.10799034,0.6338244707872789,TRUE,FALSE
HTS009156,virt_molwt_v1_full_1391992,9156,CCCOC(CC(C)C)(OCC)Oc1c(C)cccc1C(=O)O,orthoester,c1(*)c(C)cccc1C(=O)O,CCC*,CCO*,C(C(C)C)*,3.289963439426691,4.235020000000003,4.1079124600000005,0.5209822538996184,TRUE,FALSE
HTS009157,virt_molwt_v1_full_1326030,9157,COc1ccc(C(C)(OC)Oc2c(C(=O)O)cccc2C(=O)O)cc1,ketal,c1(*)c(C(=O)O)cccc1C(=O)O,C*,COc1ccc(*)cc1,C*,2.8840737641095764,2.989700000000001,4.107833599999999,0.3459406488100813,TRUE,FALSE
HTS009158,virt_molwt_v1_full_0015063,9158,CCOC(OC)(OCCOCCN)C(C)(C)C,orthoester,C(COCCN)*,C(C)*,CO*,C(C)(C)(C)*,3.61455426814453,1.3610999999999995,4.10781806,0.488105105430372,TRUE,FALSE
HTS009159,virt_molwt_v1_full_0279132,9159,C=CC(=O)NCCOC(OCC(C)(C)C)(c1c(OC)cc(OC)cc1OC)C1CC1,ketal,C=CC(=O)NCC*,C(C(C)(C)C)*,COc1cc(OC)c(*)c(OC)c1,C1(*)CC1,3.651079667760113,3.6567000000000025,4.10779282,0.172384939973333,TRUE,FALSE
HTS009160,virt_molwt_v1_full_0865335,9160,C=C(C)C(=O)OCCOC(CCCC)(OC)Oc1ccc(C)cc1,orthoester,C=C(C)C(=O)OCC*,c1(*)ccc(C)cc1,CO*,CCCC*,3.123430979804481,4.000120000000004,4.10776264,0.4338437680651024,TRUE,FALSE
HTS009161,virt_molwt_v1_full_0598254,9161,CCCOC(CCC)(OCCNC(=O)OC)c1ccc(OC)cc1,ketal,C(CNC(=O)OC)*,C(CC)*,COc1ccc(*)cc1,CCC*,3.048816242303177,3.447300000000002,4.10774226,0.3467471980038576,TRUE,FALSE
HTS009162,virt_molwt_v1_full_0124493,9162,C=C(C)C(=O)OCCCOC(CC(C)C)(OC(C)(C)C)c1ccc(O)cc1,ketal,C=C(C)C(=O)OCCC*,C(C)(C)(C)*,c1(*)ccc(O)cc1,C(C(C)C)*,3.4060982635266104,4.932200000000006,4.107701820000001,0.500647525207108,TRUE,FALSE
HTS009163,virt_molwt_v1_full_0228322,9163,C=CC(=O)NCCOCCOC(OC(C)C)(c1ccc(Cl)cc1)c1ccc(OCCOCCOCCOCCO)cc1,ketal,C=CC(=O)NCCOCC*,C(C)(C)*,c1(*)ccc(OCCOCCOCCOCCO)cc1,c1(*)ccc(Cl)cc1,3.556066575546767,3.722400000000002,4.10767652,0.8850076947692294,TRUE,FALSE
HTS009164,virt_molwt_v1_full_0522792,9164,Cc1cccc(OC(OC2CCCCC2C(=O)O)(c2ccc3c(c2)CC(=O)N3O)C2CC2)c1,ketal,C1(*)CCCCC1C(=O)O,c1(*)cccc(C)c1,c1(*)ccc2c(c1)CC(=O)N2O,C1(*)CC1,4.068548924209543,4.575120000000003,4.1076679,0.4962367699156241,TRUE,FALSE
HTS009165,virt_molwt_v1_full_0049505,9165,COC(CC(C)(C)C)(OCCCNC(=O)C(F)(F)F)c1ccc(O)cc1,ketal,C(CCNC(=O)C(F)(F)F)*,C*,c1(*)ccc(O)cc1,C(C(C)(C)C)*,3.289404801185695,3.7128000000000014,4.107664059999999,0.5315404705924905,TRUE,FALSE
HTS009166,virt_molwt_v1_full_1327434,9166,CCOC(Oc1c(C(=O)O)cccc1C(=O)O)(c1ccc(OC)cc1)c1ccc(OC)cc1OC,ketal,c1(*)c(C(=O)O)cccc1C(=O)O,CC*,COc1ccc(*)c(OC)c1,COc1ccc(*)cc1,3.0947706626539686,4.425400000000004,4.1075812,0.4781207695524177,TRUE,FALSE
HTS009167,virt_molwt_v1_full_0051954,9167,COc1ccc(C(CC(C)C)(OC)OCc2ccccc2)cc1,ketal,C(c1ccccc1)*,C*,COc1ccc(*)cc1,C(C(C)C)*,2.7274397669701163,4.757300000000004,4.107578300000001,0.4035237889945672,TRUE,FALSE
